,Close Price
9,-0.011206324544112078
10,0.005782581704947276
11,-0.02130166989598692
12,-0.0205278744358921
13,-0.0356446398838397
14,-0.03325533527364488
15,-0.03049640890333727
16,-0.05775762531060202
17,-0.02456717289918231
18,-0.008738290323551112
19,0.006504405407381952
20,0.021060195436422013
21,0.0209986761082126
22,0.01068563514545584
23,0.01191486989637891
24,0.02048998553007575
25,0.025384050493027388
26,-0.00028990106898874046
27,-0.01787063743137729
28,-0.023535050885350906
29,-0.03271277100193348
30,-0.04955380724600289
31,-0.027926265432359543
32,-0.018536360215744452
33,-0.017612286356571083
34,-0.013704207324671813
35,-0.014379329649387707
36,0.026892842942790374
37,0.018960416576308425
38,0.003412641384913151
39,0.017661576309673244
40,0.026813918318778107
41,0.015928098610498154
42,0.002503137724915838
43,-0.005378454395172483
44,-0.010845366167185233
45,-0.010620718401639806
46,-0.004796184659173086
47,0.008382191203364364
48,0.005338086127851582
49,0.005719757470032505
50,0.014316931277217115
51,-0.03527367751082977
52,-0.03956689124671264
53,-0.037490438239362156
54,-0.043135671696179934
55,-0.03854539494371689
56,-0.038760235687269606
57,-0.028372687278856112
58,0.0034061149224431375
59,-0.009996166266090789
60,-0.012478926388308054
61,-0.0342491636444322
62,-0.031407211477059604
63,-0.049308847843620995
64,-0.048302388414832365
65,-0.0377942630683572
66,-0.017787985986969623
67,-0.017634787944398767
68,0.021474380649848968
69,0.04119431050133482
70,0.01677246101872054
71,0.010934520924521074
72,0.005438099591428269
73,0.0005417375099661115
74,0.0035376351099625225
75,0.006439751452528064
76,-0.021264608590385592
77,-0.03845741836843075
78,-0.03048557106953176
79,-0.004267486567753664
80,-0.006844255122092413
81,-0.014467018611731497
82,0.005883863967771852
83,0.021379016766199577
84,0.019183828454983676
85,0.002765537187252143
86,0.0016566847456687128
87,-0.02633240042495988
88,0.05574860341583143
89,0.06104988765603725
90,0.08573830043466124
91,0.06524346058199182
92,0.060930205663177084
93,0.0682279284187759
94,0.02717092616696526
95,0.025867423438191928
96,0.037785829361848045
97,0.025934968969433925
98,0.03227506246121692
99,0.020953546792907396
100,0.025738958972572945
101,0.021665777493574012
102,0.029547488186304705
103,0.026531417295015736
104,0.017520985718050497
105,0.008253288803248715
106,0.018301494614050284
107,0.010569978215452025
108,0.025466451243497445
109,0.03881837684020084
110,0.037233765129755625
111,-0.006457202481033875
112,0.008189528967995408
113,0.0036231394342296497
114,0.002682067058716875
115,-0.010946683835997284
116,-0.023454707186695067
117,-0.014016714721611478
118,-0.017322859289902404
119,-0.025910990046174476
120,-0.012900001650290704
121,-0.0038844233523196436
122,0.008831933412432491
123,0.001893211966762287
124,0.0067259431553745586
125,0.0027723563331845114
126,-0.0027965550738784373
127,-0.010892775699876012
128,-0.0018499399416462836
129,0.0014973278358478836
130,-0.012026993238299255
131,-0.007131969727493193
132,-0.008168592077698378
133,-0.001963757001548494
134,-0.01648819473662666
135,-0.05899201279793598
136,-0.07844153370094897
137,-0.07221462777441445
138,-0.07375001244187285
139,-0.0737149976291267
140,-0.032567758758087706
141,-0.04533799784241399
142,-0.03249208495804812
143,0.00024778095757405083
144,0.014380837085322895
145,-0.00012466043869707732
146,0.0035782920684672703
147,0.0064838186682152354
148,-0.019373011923191186
149,-0.019777825525753023
150,-0.006097072237063017
151,-0.008778411862210511
152,0.0009530280978715666
153,0.010734406758208692
154,0.006068269732767639
155,0.016431807076040528
156,0.0035873666633001733
157,-0.0008006984359161251
158,-0.019195150425126428
159,-0.014201810439757878
160,-0.0068133892821498065
161,-0.023720438120507836
162,0.007172869632913859
163,0.0020431887626521927
164,-0.01814848408854619
165,-0.0037311217015689735
166,0.009946798048354744
167,0.009447178224540664
168,-0.020760680795134157
169,-0.03114468200865783
170,-0.012857820156881417
171,-0.0025893196516841854
172,0.0047832186857883485
173,0.0035105647603250745
174,0.005611342429975075
175,0.001436741166006783
176,0.012996059582001784
177,0.054572400129150545
178,0.047999742528830325
179,0.03582876863868467
180,0.027941319128825803
181,0.004131202562766667
182,-0.00729586333095078
183,-0.039436377731604466
184,-0.07244876031203251
185,-0.07696360777736189
186,-0.05830985391458654
187,-0.058505621866125956
188,-0.06256178944445079
189,-0.047910725437678714
190,-0.01447174144816099
191,0.009107520343456521
192,0.019243999259051847
193,0.014220343478900332
194,0.025876991064128774
195,0.02431777451629369
196,0.03479450787340266
197,0.017177666074505993
198,-0.004083127310082091
199,0.0008682429392949942
200,0.012825309129157247
201,0.0023257019481288665
202,0.004909730216041908
203,0.012878342906616602
204,0.027384806667428485
205,0.02674134648323445
206,0.03946205157413907
207,-0.004335141510840579
208,-0.004220492853172608
209,-0.017177490285822827
210,-0.03044137274310099
211,-0.027451482968809948
212,-0.027547374819326897
213,-0.01440686599199914
214,0.012495397963998123
215,0.04255665087379423
216,0.042689773430462985
217,0.03960913731527782
218,0.04988460686839691
219,0.036290281787061396
220,0.0190637731934169
221,-0.0059372184506392145
222,0.004076924200901999
223,0.011890592023013902
224,0.01940608257468579
225,0.023277868355668474
226,0.02873964815259189
227,-0.003869470458161217
228,0.004504699479822349
229,0.016223663483803108
230,-0.008368972178230294
231,-0.028109779391926715
232,-0.0289769852375219
233,-0.029258537324102107
234,-0.004342923920505726
235,-0.005207923712483797
236,-0.022787012284407382
237,-0.030816213905554335
238,-0.030188413581065277
239,-0.05442054601081825
240,-0.037701134964652105
241,-0.02445092592686482
242,-0.009845306499133066
243,-0.025733691265192427
244,-0.005355608421472091
245,-0.02068423082998816
246,0.0275015997153778
247,0.03525374453956687
248,0.03534030331049465
