Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2016,1010.00,1020.00,1008.75,1015.35,1016.567151052207124271,328595,6141,334038883.00,179023,54.48,11.25,5.35
31-December-2015,1004.00,1017.00,1000.00,1012.60,1009.307692307692307692,241436,8165,243683212.00,66299,27.46,17.00,8.60
30-December-2015,1015.70,1017.00,1002.10,1004.85,1007.892416701163921327,103873,3532,104692809.00,28103,27.06,14.90,-10.85
29-December-2015,1013.00,1018.50,1007.50,1015.15,1013.894281938927557303,248983,6346,252442440.00,119230,47.89,11.00,2.15
28-December-2015,1004.00,1013.55,1001.00,1008.55,1008.699293722357458771,291670,7068,294207323.00,114899,39.39,12.55,4.55
24-December-2015,1005.50,1008.00,996.10,1000.90,1000.791003285317159464,146409,5043,146524810.00,50625,34.58,11.90,-4.60
23-December-2015,993.40,1006.00,990.90,1003.55,1003.508969587526701755,227045,7718,227841694.00,77454,34.11,15.10,10.15
22-December-2015,991.10,1002.50,984.00,987.50,993.857713947290494521,263406,6907,261788085.00,71015,26.96,18.50,-3.60
21-December-2015,988.55,998.20,985.00,992.25,991.460633670021097440,267805,7715,265518115.00,58657,21.90,13.20,3.70
18-December-2015,1003.00,1009.00,990.15,992.05,997.991494344728273984,252773,7715,252265304.00,67770,26.81,18.85,-10.95
17-December-2015,980.25,1013.25,978.00,1008.35,995.029135174671728605,574220,14343,571365630.00,251885,43.87,35.25,28.10
16-December-2015,973.40,986.90,973.40,978.00,980.686984110056521275,187540,6813,183918037.00,44272,23.61,13.50,4.60
15-December-2015,956.00,977.90,953.00,975.90,969.141487026233703584,244609,9608,237060730.00,72164,29.50,24.90,19.90
14-December-2015,946.50,962.70,946.50,955.45,955.868679778065969454,252147,6800,241019420.00,52815,20.95,16.20,8.95
11-December-2015,950.10,958.85,942.90,952.25,950.744178075722123717,370539,10566,352287797.00,118416,31.96,15.95,2.15
10-December-2015,921.15,953.40,920.25,949.90,939.805146151314436170,388912,12770,365501499.00,139056,35.76,33.15,28.75
9-December-2015,940.00,944.35,913.00,915.95,927.251705438921258342,351669,9070,326085680.00,100945,28.70,31.35,-24.05
8-December-2015,950.10,954.00,937.70,942.45,946.765029376361984794,223479,6276,211582102.00,35394,15.84,16.30,-7.65
7-December-2015,967.00,972.90,951.00,953.70,957.110375930463007755,192243,6620,183997770.00,36384,18.93,21.90,-13.30
4-December-2015,973.50,976.00,961.90,965.75,967.376622740410522706,183717,5454,177723531.00,35461,19.30,14.10,-7.75
3-December-2015,977.50,988.25,973.35,976.80,981.343087121212121212,316800,6790,310889490.00,164092,51.80,14.90,-0.70
2-December-2015,966.40,978.60,965.80,976.60,972.896521944871643203,169060,6145,164477886.00,40233,23.80,12.80,10.20
1-December-2015,966.40,978.50,962.00,965.55,969.269231905552568291,169237,5572,164036217.00,41351,24.43,16.50,-0.85
30-November-2015,977.15,983.80,964.00,968.00,970.184055978279868094,171638,6091,166520451.00,31088,18.11,19.80,-9.15
27-November-2015,990.00,992.00,974.35,979.05,982.772217337165316227,169451,7269,166531735.00,39746,23.46,17.65,-10.95
26-November-2015,969.90,990.60,968.45,987.70,982.812179647299795174,300255,10162,295094271.00,110842,36.92,22.15,17.80
24-November-2015,952.05,971.00,950.75,968.00,963.714969310112339874,228414,8926,220125991.00,70704,30.95,20.25,15.95
23-November-2015,947.55,955.65,945.65,952.10,951.220989208633093525,166800,6314,158663661.00,39880,23.91,10.00,4.55
20-November-2015,935.40,952.10,925.40,945.95,943.212351998736704971,303967,7996,286705429.00,65417,21.52,26.70,10.55
19-November-2015,919.50,937.50,918.00,934.20,931.690663303686003805,225990,9021,210552773.00,71659,31.71,19.50,14.70
18-November-2015,927.00,931.65,910.00,912.35,923.139441642024699947,229960,7593,212285146.00,29227,12.71,21.65,-14.65
17-November-2015,936.70,938.70,925.95,927.50,930.775033965608727849,171497,4516,159625126.00,36529,21.30,12.75,-9.20
16-November-2015,929.00,941.80,924.70,933.05,933.338462429579859021,397081,8783,370610970.00,77005,19.39,17.10,4.05
13-November-2015,918.00,937.15,915.00,930.20,926.954009125519486180,275272,7902,255164484.00,59710,21.69,22.15,12.20
11-November-2015,928.00,933.00,927.00,928.95,929.229337443658189121,85638,2641,79577342.00,29469,34.41,6.00,0.95
10-November-2015,957.10,958.95,917.00,921.95,933.317853138207642103,278248,9817,259693826.00,70752,25.43,41.95,-35.15
9-November-2015,935.00,962.25,925.00,960.00,948.308940840479376780,267514,8720,253685918.00,53137,19.86,37.25,25.00
6-November-2015,938.00,954.00,938.00,952.45,948.601717613804736830,175476,7708,166456835.00,57438,32.73,16.00,14.45
5-November-2015,951.00,951.50,933.05,936.85,943.695061708133657191,243728,5288,230004910.00,61342,25.17,18.45,-14.15
4-November-2015,972.00,975.00,946.70,952.10,962.714775120946274391,172804,5939,166360964.00,49556,28.68,28.30,-19.90
3-November-2015,962.00,970.00,962.00,966.40,965.580485740044418057,181908,6062,175646815.00,72767,40.00,8.00,4.40
2-November-2015,946.10,960.50,945.25,959.15,953.791395179149758701,156238,5260,149018460.00,52839,33.82,15.25,13.05
30-October-2015,941.55,955.75,940.80,947.85,950.011908138868466298,172739,6341,164104107.00,53879,31.19,14.95,6.30
29-October-2015,938.80,944.95,935.50,941.55,940.364989044769286111,122316,4102,115021684.00,31883,26.07,9.45,2.75
28-October-2015,938.00,944.50,930.35,937.25,937.891220858284852708,140606,4750,131873133.00,27651,19.67,14.15,-0.75
